source_id,ra,dec,phot_g_mean_mag
644306911864817152,142.93003485076122,22.967819938531292,3.6707792
1713631344821548544,216.8815945979563,75.696086179794,3.7445457
1220404653534258816,239.39649360413006,26.8776086454839,3.7562327
6803883097774049280,316.78182011887355,-25.006049087813057,3.7819405
2714292032537154944,346.7511200283204,9.409438166589366,3.8308668
216718178536050176,56.07975605974174,32.28820323631351,3.842228
3877751153505015552,150.05321394732067,8.044122387056774,3.8831792
2630155547353593216,348.9745548677205,-9.087810189229959,3.924721
1942705624581332224,349.43625917771857,49.01532842822809,3.9340034
2216536246703152256,329.1630789062305,63.6255485672108,3.94011
2562091860584132096,25.35778812838373,5.487627211063531,3.970141
5899408305748518528,219.47157805264095,-49.42595812350064,4.0019474
2205941009060265728,330.97110179789183,63.12017992426462,4.0318704
3220275601329091584,82.43326172652218,-1.0923515777061004,4.0526423
4693818888483537664,35.43664437891122,-68.65940430513912,4.0532403
462250738616785152,52.26719596759808,59.940328920151536,4.071776
693818676378107776,141.16341687303495,26.18211353356537,4.0808535
2940472157174944128,99.47255555907883,-18.237519694472578,4.103014
970675154497903616,96.2245887330116,49.28788253332824,4.122197
4213654429705675520,292.6660805432529,-2.788934969955957,4.122641
249021589646744704,54.1225652218742,48.19251603030214,4.12316
21859669845327488,41.236830226139006,10.113961719979088,4.1537447
5998676819707873408,241.6479992105244,-36.802413825718396,4.1565685
6631708338599353856,283.0542904873621,-62.18765029329833,4.165446
145674574739951872,66.34285323849276,22.29367359328652,4.167236
1824277055360974720,295.02420100421784,18.01380056331931,4.1711555
491055881678884224,51.168947658481336,64.58599364600056,4.171272
5518235833732209536,118.3256183569648,-48.10290774132125,4.1740985
3793247534517512064,172.57880932682505,-3.0035714740208967,4.1796565
6023633156682206720,247.8454978494852,-34.704449924330774,4.183035
1978185009394330240,326.6984114265637,49.309556757220584,4.184846
2250211573437245568,305.02526328112157,68.88043625204803,4.187609
4529690183608965504,275.07473164766884,21.961030084548458,4.187761
5440991156144997504,158.80336427160702,-39.56257836426491,4.187924
4825052919883631616,76.10236314753045,-35.48316608514274,4.194447
5519266900766220800,122.37211545208517,-47.3452393935982,4.196464
128855517166594048,41.978024427837525,29.24656343803326,4.197216
309966797615673856,17.915448478226075,30.08951923458857,4.1980224
2781184739422799232,11.63717736920927,15.475287950808289,4.1993756
4939205900704478592,36.74646913494038,-47.703866097379695,4.201355
5158225936898617344,41.03057723710541,-13.858793576751978,4.205342
4161585441691080448,265.35330605241717,-12.875551136885944,4.2055626
482818271843093376,73.51254990847781,66.34270799687302,4.2128644
3851460524814895744,144.6129672839531,4.649066398035406,4.2132688
1985889115564260224,344.10832216302356,49.73353177685781,4.216367
2988329637719192960,79.89385682650418,-13.17679073992929,4.218469
6054346605287699968,180.75473957301676,-63.312900420844265,4.220316
6081542475600377472,196.72747704035422,-49.906303345686254,4.224331
2098074279806975488,279.5270174902829,39.66836302692522,4.2299094
2272649822619848064,325.48200314844524,71.31187298142444,4.234787
2186410658887682432,303.34994008936434,56.56808503876221,4.2358556
247637579387146368,61.645918626664646,50.351100087356684,4.236291
4547506223341987072,260.0786660130932,18.05682752424195,4.244999
4430238051199001216,236.60988904592512,7.352758689332476,4.246856
5181749610217581440,46.63959314752102,-6.088596617737218,4.2472777
191419859094194816,87.29332785167465,39.18096092052109,4.2502503
2612171866450404992,331.609473816884,-13.86993196356307,4.250913
6895103083539482496,317.3989590718655,-11.371759260894493,4.2510796
1925644949328127488,354.5343337368374,43.26806751702891,4.2537193
4351747145908107648,246.93107398026117,-7.598612097215736,4.255892
2839853133694170880,351.3458577723543,23.404261624701185,4.2580924
4660016396371388672,86.1928934804897,-65.73547602893706,4.2614965
6601750220152445440,337.87668566970035,-32.34615910715257,4.263408
4050817990273288064,272.0208681502805,-28.457233171354165,4.265147
2924859847973986048,97.96400994106081,-23.418394841586725,4.2663584
4365395040146977408,255.26482749618566,-4.222992534469679,4.2677264
5032256161014732416,14.651598785584167,-29.35743084547439,4.268622
6696934666893316736,300.88979842444206,-37.94106699255091,4.2689137
5229179105872769408,157.75846840063642,-73.22145815267073,4.271682
1934658092817644928,343.0091427996259,43.31252242122297,4.2724085
1152025922322662656,115.12380824413003,87.0199584907372,4.274878
6884392672053507712,318.93695277712925,-15.171482387865588,4.2773185
198271397081746560,73.15811133967404,36.70317157551368,4.280531
3188462022653817472,73.22353884170033,-5.452584502474133,4.2812915
6245697981070158080,242.99885595280662,-19.460815946757542,4.2813463
719103698606421888,136.6322124987915,38.452148473031684,4.284234
411601907281189504,17.777433589034587,55.1498128843095,4.288004
6630558558672843392,272.1452571654302,-63.66941131779262,4.289329
3197763169471183488,68.54834917659933,-8.231333153608327,4.292685
5864836602250358528,201.00231056017168,-64.53576464230589,4.29425
3314063977537054208,66.3729376285106,17.927768735352878,4.295662
4141650196336522752,260.20712853781777,-12.846869374874107,4.2963223
798883781282661248,143.55579627904467,36.397457046512834,4.297111
6861481701590665984,310.0121615926549,-18.138755944055166,4.2984753
5290818758516639104,119.9063897425201,-60.587012750445204,4.2988462
5409223585178017152,144.20553417462855,-49.35483376770194,4.2990227
2072979060791869568,297.64171395867913,38.7228856833424,4.2994523
3676091134604409728,189.8111824278454,-7.9956734410311885,4.300346
6482637342379564416,312.37093069373157,-46.226710517266035,4.3030252
2887631548188825600,89.38419413169026,-35.28323557408734,4.30405
364936228611467520,9.220292219628776,33.71932837128248,4.30468
4044222883404244736,269.7720187345046,-30.253062691826745,4.3048916
4238245591376160768,294.18031742159945,-1.2866958118950973,4.306137
